"x","y"
2272,35
2273,65
2274,41
2275,40
2276,35
2277,44
2278,37
2279,39
2280,48
2281,38
2282,287
2283,44
2284,44
2285,44
2286,38
2287,40
2288,48
2289,1
2290,41
2291,39
2292,39
2293,46
2294,46
2295,45
2296,53
2297,169
2298,46
2299,256
2300,251
2301,107
2302,188
2303,102
2304,49
2305,46
2306,96
2307,219
2308,88
2309,124
2310,52
2311,61
2312,91
2313,115
2314,102
2315,115
2316,32
2317,48
2318,1
2319,38
2320,49
2321,45
2322,48
2323,43
2324,62
2325,1
2326,46
2327,40
2328,45
2329,45
2330,45
2331,38
2332,47
2333,1
2334,1
2335,46
2336,42
2337,1
2338,36
2339,115
2340,40
2341,34
2342,34
2343,96
2344,140
2345,83
2346,446
2347,309
2348,106
2349,415
2350,56
2351,55
2352,104
2353,46
2354,50
2355,47
2356,52
2357,36
2358,43
2359,73
2360,66
2361,92
2362,51
2363,62
2364,58
2365,1
2366,160
2367,56
2368,309
2369,100
2370,201
2371,98
2372,1
2373,52
2374,49
2375,150
2376,227
2377,55
2378,45
2379,47
2380,43
2381,46
2382,1
2383,1
2384,31
2385,50
2386,46
2387,35
2388,223
2389,111
2390,112
2391,309
2392,46
2393,41
2394,33
2395,1
2396,1
2397,44
2398,41
2399,42
2400,68
2401,48
2402,59
2403,34
2404,37
2405,39
2406,72
2407,50
2408,33
2409,43
2410,50
2411,40
2412,55
2413,36
2414,49
2415,45
2416,156
2417,191
2418,93
2419,135
2420,40
2421,90
2422,463
2423,104
2424,215
2425,51
2426,50
2427,45
2428,236
2429,50
2430,63
2431,48
2432,231
2433,52
2434,1
2435,50
2436,84
2437,72
2438,301
2439,41
2440,35
2441,48
2442,36
2443,43
2444,45
2445,43
2446,49
2447,59
2448,45
2449,42
2450,40
2451,57
2452,35
2453,36
2454,42
2455,1
2456,41
2457,33
2458,39
2459,40
2460,37
2461,39
2462,1
2463,201
2464,36
2465,90
2466,36
2467,57
2468,52
2469,463
2470,59
2471,41
2472,43
2473,48
2474,47
2475,41
2476,48
2477,29
2478,75
2479,45
2480,46
2481,128
2482,43
2483,75
2484,86
2485,49
2486,95
2487,64
2488,78
2489,83
2490,365
2491,58
2492,88
2493,57
2494,74
2495,47
2496,294
2497,82
2498,65
2499,121
2500,55
2501,73
2502,71
2503,39
2504,44
2505,43
2506,60
2507,41
2508,49
2509,48
2510,63
2511,40
2512,45
2513,48
2514,60
2515,38
2516,43
2517,43
2518,47
2519,38
2520,37
2521,44
2522,36
2523,36
2524,36
2525,33
2526,44
2527,49
2528,42
2529,43
2530,54
2531,48
2532,57
2533,138
2534,42
2535,43
2536,174
2537,335
2538,48
2539,67
2540,49
2541,67
2542,45
2543,55
2544,51
2545,42
2546,68
2547,114
2548,103
2549,60
2550,73
2551,47
2552,46
2553,51
2554,46
2555,36
2556,53
2557,42
2558,134
2559,38
2560,47
2561,41
2562,40
2563,43
2564,36
2565,46
2566,61
2567,37
2568,38
2569,39
2570,41
2571,46
2572,52
2573,38
2574,59
2575,46
2576,34
2577,41
2578,42
2579,47
2580,31
2581,43
2582,48
2583,78
2584,50
2585,57
2586,335
2587,365
2588,84
2589,211
2590,50
2591,52
2592,52
2593,58
2594,50
2595,40
2596,68
2597,59
2598,60
2599,125
2600,60
2601,280
2602,231
2603,56
2604,191
2605,219
2606,60
2607,188
2608,62
2609,51
2610,86
2611,167
2612,59
2613,60
2614,262
2615,231
2616,182
2617,63
2618,52
2619,53
2620,59
2621,65
2622,52
2623,56
2624,61
2625,52
2626,61
2627,50
2628,56
2629,44
2630,215
2631,49
2632,44
2633,57
2634,46
2635,49
2636,41
2637,55
2638,50
2639,40
2640,52
2641,58
2642,54
2643,43
2644,48
2645,45
2646,43
2647,44
2648,148
2649,53
2650,67
2651,137
2652,54
2653,41
2654,47
2655,49
2656,49
2657,53
2658,48
2659,145
2660,36
2661,45
2662,40
2663,138
2664,96
2665,50
2666,49
2667,95
2668,50
2669,430
2670,46
2671,41
2672,47
2673,42
2674,45
2675,43
2676,1
2677,38
2678,45
2679,43
2680,47
2681,41
2682,43
2683,44
2684,39
2685,41
2686,47
2687,58
2688,40
2689,45
2690,45
2691,53
2692,66
2693,40
2694,41
2695,46
2696,38
2697,44
2698,49
2699,104
2700,53
2701,42
2702,46
2703,42
2704,182
2705,47
2706,42
2707,52
2708,131
2709,59
2710,55
2711,69
2712,162
2713,64
2714,43
2715,365
2716,42
2717,91
2718,58
2719,92
2720,114
2721,65
2722,57
2723,56
2724,162
2725,53
2726,51
2727,91
2728,63
2729,77
2730,185
2731,80
2732,219
2733,59
2734,77
2735,47
2736,57
2737,54
2738,50
2739,49
2740,27
2741,48
2742,42
2743,42
2744,50
2745,86
2746,51
2747,194
2748,51
2749,42
2750,48
2751,53
2752,280
2753,77
2754,54
2755,227
2756,53
2757,1
2758,81
2759,55
2760,81
2761,67
2762,180
2763,215
2764,58
2765,123
2766,70
2767,131
2768,129
2769,1
2770,58
2771,56
2772,354
2773,158
2774,47
2775,47
2776,46
2777,65
2778,57
2779,56
2780,58
2781,60
2782,57
2783,89
2784,57
2785,354
2786,197
2787,55
2788,197
2789,152
2790,49
2791,53
2792,64
2793,44
2794,44
2795,54
2796,1
2797,46
2798,55
2799,51
2800,48
2801,68
2802,52
2803,53
2804,63
2805,57
2806,46
2807,55
2808,48
2809,50
2810,46
2811,42
2812,41
2813,50
2814,42
2815,42
2816,46
2817,55
2818,1
2819,39
2820,80
2821,251
2822,204
2823,64
2824,75
2825,69
2826,50
2827,82
2828,78
2829,156
2830,101
2831,140
2832,1
2833,227
2834,64
2835,131
2836,463
2837,219
2838,61
2839,86
2840,38
2841,335
2842,177
2843,63
2844,145
2845,129
2846,140
2847,177
2848,94
2849,354
2850,1
2851,75
2852,204
2853,365
2854,90
2855,251
2856,47
2857,134
2858,104
2859,45
2860,96
2861,102
2862,95
2863,67
2864,110
2865,57
2866,54
2867,105
2868,50
2869,185
2870,215
2871,135
2872,709
2873,129
2874,287
2875,72
2876,61
2877,211
2878,162
2879,92
2880,81
2881,54
2882,54
2883,50
2884,51
2885,63
2886,93
2887,56
2888,188
2889,65
2890,119
2891,59
2892,262
2893,344
2894,108
2895,268
2896,167
2897,114
2898,57
2899,172
2900,38
2901,48
2902,51
2903,53
2904,49
2905,46
2906,48
2907,46
2908,50
2909,56
2910,48
2911,43
2912,50
2913,45
2914,53
2915,1
2916,47
2917,52
2918,95
2919,48
2920,49
2921,45
2922,52
2923,45
2924,56
2925,66
2926,62
2927,43
2928,51
2929,50
2930,37
2931,39
2932,51
2933,68
2934,1
2935,41
2936,131
2937,49
2938,46
2939,58
2940,48
2941,42
2942,44
2943,43
2944,46
2945,49
2946,48
2947,63
2948,44
2949,52
2950,344
2951,50
2952,128
2953,415
2954,287
2955,103
2956,147
2957,101
2958,268
2959,90
2960,57
2961,78
2962,61
2963,90
2964,102
2965,463
2966,132
2967,121
2968,182
2969,66
2970,430
2971,177
2972,73
2973,167
2974,52
2975,87
2976,56
2977,49
2978,52
2979,502
2980,85
2981,98
2982,92
2983,77
2984,135
2985,36
2986,51
2987,53
2988,46
2989,50
2990,50
2991,446
2992,49
2993,42
2994,37
2995,603
2996,94
